filename,fwhm,threshold,center_ra,center_dec,field_width,field_height,pixel_scale,orientation,parity,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux_detected,mag,ra,dec,ra_hms,dec_dms,has_wcs,has_astrometry,aperture_sum,bkg_flux,flux,flux_err,snr,mag_calibrated,gaia_source_id,gaia_ra,gaia_dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,parallax,pmra,pmdec,simbad_main_id,otype,sp_type,rv_value,distance_result
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,247,561.72369,962.56571,0.40416631,-0.55725349,-0.31952982,49,0,12989,13.173163,-2.7992252,83.823091,-5.4075373,5:35:17.54,-5:24:27.1,True,True,10197568,8087299.9,2110267.7,2268.4223,930.27991,-15.810844,,,,,,,,,,,COUP   870,Or*,,,0.001384895
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,248,68.602219,965.30018,0.50243943,0.20594797,-0.066260733,49,0,336,2.7531959,-1.0995928,84.070791,-5.1952417,5:36:16.99,-5:11:42.9,True,True,-2077.1881,-13618.804,11541.616,1745.5697,6.611948,-10.155667,3017371588112037248,84.070766,-5.1952169,12.598325,13.470102,11.666245,1.8038578,2.5402603,3.0089156,1.3618389,V* AZ Ori,Or*,,,3.5344631e-05
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,249,536.9085,965.34997,0.49893495,-0.79141138,-0.59033685,49,0,8980,9.8532646,-2.4839504,83.836714,-5.3981738,5:35:20.81,-5:23:53.4,True,True,8255403.4,9310268.5,-1054865.1,1407.3403,-749.54511,,3017361104086334976,83.836153,-5.398121,16.117193,13.057524,12.370485,0.68703842,2.6573234,2.0487409,0.16835837,[SEM2016] 726,*,,,0.0010812438
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,250,664.56743,963.89385,0.32080085,-0.21104749,-0.20851235,49,0,1128,1.3198799,-0.30133605,83.772233,-5.4527496,5:35:05.34,-5:27:09.9,True,True,734825.42,687749.61,47075.811,1755.7186,26.812845,-11.681995,,,,,,,,,,,,,,,
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,251,500.26479,966.8273,0.40984489,-0.52680428,0.11842531,49,0,1313,1.8167468,-0.64823603,83.855681,-5.3830348,5:35:25.36,-5:22:58.9,True,True,1405916.7,2035557.3,-629640.55,1551.0743,-405.93836,,3017362620221405440,83.85443,-5.3829229,14.242658,15.031089,12.880002,2.1510868,2.1823718,1.1131514,2.0343528,JW  766,Or*,,,0.0012485937
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,252,604.07835,967.41415,0.43112809,-0.0068715131,-0.75477758,49,0,4527,4.0287254,-1.5129192,83.80402,-5.4282999,5:35:12.96,-5:25:41.9,True,True,3265483.6,2524926.3,740557.33,1943.2008,381.10181,-14.673897,,,,,,,,,,,,,,,
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,253,615.39995,968.2556,0.45127358,0.044303338,-0.68861137,49,0,3661,4.7680852,-1.69586,83.798725,-5.4336234,5:35:11.69,-5:26:01.0,True,True,2490360.1,1657862.4,832497.65,1966.7154,423.29339,-14.800958,3017360554330362752,83.797909,-5.4340022,12.805809,13.61125,11.72368,1.8875694,2.5129999,1.6020063,-1.1508638,V* LU Ori,Or*,,,0.00089694429
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,254,624.76741,968.157,0.49631685,-0.28214392,-0.12549441,49,0,3301,7.2696761,-2.1537876,83.793997,-5.4376322,5:35:10.56,-5:26:15.5,True,True,2048499.9,1418171.5,630328.38,1914.628,329.21716,-14.498917,3017360554330360320,83.793795,-5.4384314,12.212343,12.865873,11.285329,1.5805445,2.5644486,1.579867,-0.59709331,[BOM2000] j105-618,Y*O,,,0.00081903072
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,255,476.06932,969.75765,0.49369197,-0.78832452,-0.34556186,49,0,1155,2.4274624,-0.96288128,83.869057,-5.3740123,5:35:28.57,-5:22:26.4,True,True,665041.23,829839.13,-164797.9,1694.3064,-97.265706,,,,,,,,,,,,2MASS J05352865-0522253,Y*?,,,0.00045682241
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,256,550.33285,975.39587,0.39215956,-0.36663673,0.70861428,49,0,13841,12.707513,-2.7601514,83.834377,-5.4089927,5:35:20.25,-5:24:32.4,True,True,11256623,7636517.4,3620105.5,2579.8406,1403.2284,-16.396803,,,,,,,,,,,[OW94] 200-431,*,,,0.00097486728
